SLOT,valor_hoje,valor_d1,valor_d7,valor_media_mes,frac_hist,acum_hoje,acum_d1,acum_d7,acum_media_mes,ritmo_vs_d1,ritmo_vs_d7,ritmo_vs_media
00:00,1520.15,1287.82,777.78,1480.2621428571426,0.0009706876504178317,1520.15,1287.82,777.78,1480.2621428571426,1.1804056467518753,1.9544729872200366,1.0269464819696514
00:15,1890.56,851.75,1077.55,1116.9475,0.001727128923424112,3410.71,2139.5699999999997,1855.33,2597.2096428571426,1.5941100314549188,1.8383306473780945,1.313220905898047
00:30,936.17,596.44,1005.13,953.7117857142857,0.0023952215641580487,4346.88,2736.0099999999998,2860.46,3550.9214285714284,1.5887661229308374,1.5196436936716473,1.224155500886088
00:45,834.06,451.32,646.56,623.5625,0.0028200750719494113,5180.9400000000005,3187.33,3507.02,4174.483928571428,1.6254796334235868,1.4773055186454598,1.2410971244948588
01:00,1681.95,482.89,69.99,514.8939285714285,0.0031711741930693775,6862.89,3670.22,3577.0099999999998,4689.377857142857,1.8698851839944202,1.9186107950494968,1.4634969092001089
01:15,1613.38,432.65,683.16,662.5375,0.0036258855283219354,8476.27,4102.87,4260.17,5351.915357142857,2.065936771089506,1.98965534239244,1.5837825216512942
01:30,797.95,107.97,772.18,405.96,0.003880710457090615,9274.220000000001,4210.84,5032.35,5757.875357142857,2.2024631664940966,1.8429203056226218,1.6107017649305293
01:45,283.6,71.68,219.27,279.985,0.00407823144697468,9557.820000000002,4282.52,5251.620000000001,6037.860357142857,2.2318214509214203,1.8199755504015904,1.5829812938109762
02:00,550.45,170.03,115.24,287.96714285714285,0.004320791742422174,10108.270000000002,4452.55,5366.860000000001,6325.827499999999,2.2702204354807924,1.8834607200485947,1.5979363964635462
02:15,653.1,99.41,130.27,298.95185185185187,0.004473754793346042,10761.370000000003,4551.96,5497.130000000001,6624.779351851851,2.364117874498019,1.957634256421078,1.6244118375039667
02:30,754.08,190.03,260.66,391.38,0.004691134247143937,11515.450000000003,4741.99,5757.790000000001,7016.159351851851,2.4284003129487837,1.999977421892775,1.6412754361060236
02:45,153.64,0.0,49.9,177.6536,0.0047791630636668464,11669.090000000002,4741.99,5807.6900000000005,7193.812951851851,2.4608002125689854,2.009248083144934,1.6221008355514879
03:15,154.56,14.95,50.49,111.25478260869566,0.004888178263329869,11823.650000000001,4756.94,5858.18,7305.0677344605465,2.485557942711071,2.01831456186051,1.6185544651726815
03:30,1202.55,169.61,343.4,217.65227272727273,0.0049711590079125675,13026.2,4926.549999999999,6201.58,7522.72000718782,2.644081558088318,2.1004647202809608,1.7315811285749978
03:45,1137.33,0.0,0.0,145.3995238095238,0.005103049963652408,14163.53,4926.549999999999,6201.58,7668.119530997344,2.874938851731943,2.2838583070765837,1.8470669298705937
04:00,98.24,0.0,38.7,116.005,0.005389013240391426,14261.77,4926.549999999999,6240.28,7784.124530997344,2.8948797840273626,2.2854375124193145,1.8321610790279463
04:15,695.04,0.0,41.97,178.00615384615384,0.006422896658841504,14956.810000000001,4926.549999999999,6282.25,7962.130684843498,3.035960256163036,2.3808046480162366,1.8784934073578308
04:30,231.85,74.75,0.0,182.87235294117647,0.005799944626737171,15188.660000000002,5001.299999999999,6282.25,8145.003037784674,3.0369423949773067,2.4177102152891083,1.864782607144503
05:00,318.74,125.64,79.9,217.84615384615384,0.004850841955414058,15507.400000000001,5126.94,6362.15,8362.849191630828,3.0246891908233766,2.4374464607090376,1.854320177807239
05:15,19.39,0.0,495.41,138.77307692307693,0.005457701884393916,15526.79,5126.94,6857.5599999999995,8501.622268553905,3.0284711738385863,2.2641858036969422,1.8263326115335692
05:30,226.0,0.0,0.0,189.17071428571427,0.005889079253290707,15752.79,5126.94,6857.5599999999995,8690.792982839619,3.0725520485903877,2.2971421321869587,1.8125837344307507
05:45,629.58,272.84,41.87,212.99347826086958,0.005063779448975864,16382.37,5399.78,6899.429999999999,8903.786461100488,3.033895825385479,2.374452672177267,1.8399329399433033
06:00,2750.12,69.9,9.9,285.30347826086955,0.005599822654089497,19132.49,5469.679999999999,6909.329999999999,9189.089939361358,3.497917611267936,2.7690803594559825,2.0820875762730546
06:15,1558.73,431.45,0.0,281.55,0.005853731039521162,20691.22,5901.129999999999,6909.329999999999,9470.639939361357,3.5063148922325054,2.994678210477717,2.1847752773288613
06:30,3214.67,55.89,373.23,601.5382142857143,0.005952622023960578,23905.89,5957.0199999999995,7282.5599999999995,10072.178153647072,4.013061900077556,3.2826217703664646,2.3734578196816174
06:45,4652.08,1321.4,1431.2,1383.399642857143,0.006751197330412431,28557.97,7278.42,8713.76,11455.577796504214,3.923649638245663,3.2773418134077597,2.492931435437046
07:00,12311.55,9250.06,8496.15,5688.858928571428,0.01033572427412836,40869.520000000004,16528.48,17209.91,17144.43672507564,2.4726726232539233,2.3747666315512403,2.383835681240189
07:15,29840.66,15476.5,13947.99,9056.13107142857,0.015574885849151166,70710.18000000001,32004.98,31157.9,26200.567796504212,2.209349295015963,2.2694141774638217,2.6988033446143276
07:30,37040.17,21632.41,15431.37,12111.096071428572,0.022640031625174535,107750.35,53637.39,46589.270000000004,38311.66386793279,2.008866389658408,2.3127718034646176,2.812468557132754
07:45,34845.41,18569.96,10389.36,12866.561785714284,0.02972190923211331,142595.76,72207.35,56978.630000000005,51178.225653647074,1.9748094896156694,2.5026182623204525,2.786258378026404
08:00,36493.92,12595.15,14102.65,15754.402142857143,0.039382744909000865,179089.68,84802.5,71081.28,66932.62779650421,2.1118443442115504,2.519505557581405,2.6756708334310098
08:15,37637.07,12120.8,10650.16,15631.626428571428,0.04887861595695686,216726.75,96923.3,81731.44,82564.25422507564,2.2360644963594924,2.6516937668050384,2.6249464981442028
08:30,36896.22,16965.91,11102.47,15651.484642857144,0.05817355939563354,253622.97,113889.21,92833.91,98215.73886793279,2.226927116273789,2.7320078406694277,2.582304760146821
08:45,40400.24,16987.55,13725.41,18936.495714285713,0.06945414173267013,294023.21,130876.76000000001,106559.32,117152.2345822185,2.246565471211237,2.7592444283615922,2.509753322661992
09:00,25671.09,15471.4,14094.4,19741.090714285714,0.08157121969266239,319694.30000000005,146348.16,120653.72,136893.32529650422,2.1844777549646,2.6496845683663963,2.3353534535563214
